"","Sserial","WtFactor","RSex","RAgeCat","eq_inc_quintiles","RClassGp","HEdQual3","Married","ChildHh","skipmeal","paptype","SMNews","PartyId2","Politics","SocTrust","Spend1","Dole","TaxSpend","MuchPov","Poverty1","Poverty2","NatFrEst","incdiffs","welfare2","leftrigh","libauth"
"1834",311834,1.76530115708456,1,3,3,1,2,4,2,-1,0,2,1,2,-1,-1,3,2,2,2,1,20,-1,-1,-1,-1
"1835",311835,1.29550530909795,2,1,3,2,3,4,2,1,0,1,5,3,-1,-1,2,3,2,8,1,40,3,2.875,2.8,3.16666666666667
"1836",311836,0.958043545396606,1,6,5,1,3,2,1,-1,1,8,1,3,2,6,2,2,1,2,2,998,-1,3.28571428571429,3.6,4
"1837",311837,0.860511511336315,1,7,-1,1,3,1,2,1,2,8,1,2,-1,-1,3,2,8,2,2,1,2,2.375,3.2,2.83333333333333
"1838",311838,2.2369783773817,1,2,-1,2,4,1,1,-1,0,8,5,3,2,3,8,8,8,8,8,998,-1,-1,-1,-1
"1839",311839,1.89759290431225,1,4,4,1,1,1,1,-1,0,8,8,2,1,1,3,2,2,2,2,40,-1,2.5,3.8,2.33333333333333
"1840",311840,1.34382283144441,1,4,1,1,2,4,2,-1,0,8,8,5,8,3,1,2,2,1,1,80,-1,3,3,3
"1841",311841,1.18019968381847,1,4,5,1,1,1,1,1,2,8,1,2,-1,-1,2,2,2,2,1,15,3,3,3.8,3.16666666666667
"1842",311842,0.512536776372869,2,3,4,5,3,4,2,4,0,2,3,4,-1,-1,3,3,2,2,2,10,1,2.75,2,4
"1843",311843,0.432753363938682,2,7,2,5,4,3,2,1,0,8,1,4,-1,-1,2,3,2,1,1,99,2,2.375,2.4,4.33333333333333
"1844",311844,0.596234141619899,2,7,3,5,4,3,2,1,0,8,8,5,-1,-1,2,3,1,2,1,33,1,3.5,2,4.16666666666667
"1845",311845,1.10188749958664,1,4,5,1,1,1,1,1,0,5,3,3,-1,-1,2,3,2,1,1,5,2,3.125,2.8,4.16666666666667
"1846",311846,0.692536608638609,2,4,2,2,3,4,2,-1,0,8,4,5,2,8,1,3,2,1,1,998,-1,2.625,2.6,4
"1847",311847,2.52612132081219,1,1,2,5,3,4,2,2,0,4,1,4,-1,-1,2,3,2,2,1,65,3,3.25,2.6,3.66666666666667
"1848",311848,0.829321461085049,1,7,3,5,3,1,2,1,0,8,1,1,-1,-1,2,2,1,2,2,35,2,3.125,2.2,4.16666666666667
"1849",311849,0.482002208843002,1,7,-1,5,4,1,2,-1,0,8,2,5,-1,-1,8,2,2,1,2,20,-1,-1,-1,-1
"1850",311850,1.05169317856799,2,7,1,3,4,2,2,1,1,8,1,3,-1,-1,3,2,2,2,2,100,5,3.5,2,4.66666666666667
"1851",311851,1.01212576803136,1,6,3,5,3,1,2,1,0,3,1,3,-1,-1,3,2,2,2,2,75,1,2.75,2.2,3.66666666666667
"1852",311852,1.2400352344516,2,3,-1,1,2,1,2,-1,0,2,4,3,1,3,2,3,2,2,2,10,-1,2.5,2.8,4.66666666666667
"1853",311853,1.44755838784965,1,7,3,2,2,1,1,-1,0,8,6,2,1,3,1,3,2,1,1,1,-1,2.125,2.2,3.16666666666667
"1854",311854,0.433996064739001,2,7,5,3,1,4,2,1,2,8,1,1,-1,-1,2,3,1,2,2,2,1,2.875,3.2,3.5
"1855",311855,1.24023153006455,2,7,-1,2,3,1,2,-1,1,8,1,2,-1,-1,2,3,2,2,2,10,-1,-1,-1,-1
"1856",311856,2.88374893580668,1,1,-1,4,1,4,2,1,0,2,2,5,-1,-1,1,2,2,2,2,5,3,2.375,3,2
"1857",311857,0.620181093893386,1,3,5,1,1,4,2,-1,0,8,3,2,2,3,1,3,1,1,1,2,-1,1.5,2.8,2.5
"1858",311858,0.639239321231969,1,7,2,5,3,4,2,-1,1,8,1,3,-1,-1,1,2,1,2,2,20,-1,-1,-1,-1
"1859",311859,0.861199720294191,2,3,5,1,1,1,1,1,0,1,2,2,-1,-1,1,3,2,1,1,4,2,2.125,2.2,2.83333333333333
"1860",311860,0.476795677849597,2,7,1,5,4,3,2,-1,1,8,1,3,-1,-1,1,3,2,8,2,25,-1,-1,-1,-1
"1861",311861,0.858131488835198,1,5,2,1,3,2,2,1,0,8,5,4,-1,-1,1,3,2,2,1,90,1,3.375,2,4.5
"1862",311862,0.56378547554302,2,4,4,2,1,4,2,-1,0,8,3,1,2,1,5,3,2,2,2,23,-1,2.125,2,4.33333333333333
"1863",311863,0.754975053932899,2,4,1,1,1,1,1,1,0,3,3,1,-1,-1,1,3,2,1,1,998,1,1.625,2.2,2.5
"1864",311864,0.528659191443501,1,7,5,1,3,4,2,4,1,8,1,1,-1,-1,1,3,2,2,2,70,4,2.5,2,2.66666666666667
"1865",311865,0.885102666750165,2,3,2,5,4,1,1,1,0,7,2,3,-1,-1,3,1,2,2,2,80,1,3,3,4.33333333333333
"1866",311866,0.844939817946793,1,7,5,3,2,1,2,1,0,8,1,1,-1,-1,3,3,1,2,1,20,2,3,2.4,4.33333333333333
"1867",311867,1.23028621530659,2,6,2,5,4,2,1,9,0,8,1,3,-1,-1,2,2,1,2,2,4,1,3.25,2.6,3.66666666666667
"1868",311868,1.07866070993347,1,4,-1,1,1,1,2,-1,0,8,1,2,2,9,2,3,2,2,1,20,-1,3.25,2,3.66666666666667
"1869",311869,0.626935368822413,2,7,1,5,2,2,2,9,0,8,2,5,-1,-1,1,1,2,2,1,70,9,1.625,2,3.16666666666667
"1870",311870,1.1658295593872,1,4,1,1,1,1,2,-1,0,1,2,1,1,1,1,2,2,1,1,7,-1,2,2.2,2.83333333333333
"1871",311871,0.739196496117512,2,7,-1,2,4,4,2,9,0,3,2,3,-1,-1,2,2,1,2,2,65,2,9,9,9
"1872",311872,2.08494198622933,2,1,1,2,2,1,2,-1,0,3,5,2,2,7,2,3,2,1,1,80,-1,2.75,2.4,4.16666666666667
"1873",311873,2.15373791242395,2,4,3,1,1,1,1,1,0,8,1,4,-1,-1,2,2,2,2,1,50,3,2.75,2.6,3
"1874",311874,0.389635543031082,1,7,5,5,4,1,2,1,0,8,5,5,-1,-1,2,4,2,1,1,90,1,3.5,2,3.33333333333333
"1875",311875,0.866378933069421,2,1,1,5,2,4,2,8,0,1,2,4,-1,-1,1,3,2,2,1,998,1,1.875,2.6,3.66666666666667
"1876",311876,0.903812494098128,1,6,4,1,1,1,2,-1,0,8,3,2,1,3,3,3,8,2,1,1,-1,2.125,3.2,2.83333333333333
"1877",311877,0.993718542484723,1,3,4,1,2,1,1,1,0,8,1,3,-1,-1,2,2,1,1,2,80,4,3.125,4.2,4.33333333333333
"1878",311878,0.79612401624529,2,5,-1,5,3,2,2,1,0,8,2,4,-1,-1,1,2,2,1,1,30,3,2.75,1.8,5
"1879",311879,0.405905025296618,1,7,3,4,4,3,2,1,1,8,1,1,-1,-1,3,2,2,2,1,10,9,2.875,3,5
"1880",311880,0.436767473250513,2,7,3,5,4,3,2,1,2,8,2,2,-1,-1,3,2,1,2,1,60,2,3.25,1.8,5
"1881",311881,0.617185422588551,2,7,4,2,3,3,2,1,0,8,4,4,-1,-1,3,3,2,2,1,998,1,2.25,2.6,4.33333333333333
"1882",311882,0.745193524872142,1,7,5,1,1,1,2,1,0,8,1,1,-1,-1,7,2,1,2,2,10,2,3,3.2,3.5
"1883",311883,0.506636133955896,2,3,3,2,1,2,1,5,0,2,2,1,-1,-1,1,2,2,2,1,5,2,2.125,2.2,3.16666666666667
